company,description,location,review,salary,star,title
Algorithmic Districting Initiative (Non-Profit),We’re looking for an engineer and/or data scientist to help save our democracy. 2+ years of production engineering and/or data analysis experience....,"New York, NY 10011 (Chelsea area)",,120000.0,,Democracy & Mapping Engineer
Analytic Recruiting,"Data Scientist a.k.a. Data Scientist, Marketing Analytics. Organization seeks a Data Scientist within its analytics group....","New York, NY 10017 (Midtown area)",2.0,87500.0,51.0,"Data Scientist, Marketing Analytics"
Averity,This is a great opportunity for an experienced data scientist to join one of the most exciting and cutting-edge startups in New York....,"New York, NY",,170000.0,,Director of Data Science (Startup)
S.C. International,Large insurance organization is seeking talent to join growing corporate analytics group. Great opportunity to join a fast paced and growing entrepreneurial,"New York, NY",,130000.0,,Sr. Modeling Data Scientist
Execu | Search,"The Data Scientist will be responsible for:. 1+ year of experience as a Data Scientist, Quantitative Researcher or in a similar role....","New York, NY",65.0,150000.0,43.8,Data Scientist
Oliver James Associates,"Passionate about Data Science. You will work closely with data engineers and BI experts to develop a streamlined, efficient and robust data architecture to meet...","New York, NY",2.0,145000.0,39.0,Senior Data Scientist
Oliver James Associates,"Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and...","New York, NY",2.0,120000.0,39.0,Lead Data Scientist
Smith Hanley Associates,"2-4 years of data science experience. Translate complex data problems into business strategies. Experience in translating business questions, utilizing data and...","New York, NY",13.0,110000.0,51.6,Data Scientists
Harnham,"Our client is interested in hiring a Data Scientist, essentially with experience analyzing financial and econometric data to build predictive models, to be...","New York, NY",,120000.0,,Data Scientist - Retail Banking
Smith Hanley Associates,Senior Data Scientist. 5-10 years of data science experience. Translate complex data problems into business strategies....,"New York, NY",13.0,145000.0,51.6,Senior Data Scientist
Averity,We are growing rapidly and are looking for a great Senior Data Scientist excited about this and working with our great clients here in New York City....,"New York, NY",,157500.0,,Senior Data Scientist (Consulting Experience)
Harnham,"Data Scientist - Modeling. As a Data Scientist, you will be an integral part of drafting the new work flow for data and analytics within the organization....","New York, NY",,125000.0,,Data Scientist - Modeling
Venturi Ltd,"Senior Machine Learning Engineer, Computer Vision, CV, Technical Lead, ML Engineer, Data Scientist, Hadoop, Python, C++, SIMD, CUDA, Computer Science, Big Data,...","New York, NY",3.0,160000.0,60.0,Senior Machine Learning Engineer ( Computer Vision / Search )
Venturi Ltd,"Senior Data Analyst, R Programming, Education, Social Sciences, Junior Data Scientist, EdTech, Tableau, R, javascript, DataViz, Data Modelling, SQL, JavaScript,...","New York, NY",3.0,100000.0,60.0,Senior Data Analyst ( EdTech / R / DataViz / Data Modelling )
Harnham,Chief Data Scientist - Consulting. Chief Data Scientist | Data Science | Insurance | Management Consulting | Project Management | Statistical Modeling....,"New York, NY",,220000.0,,Chief Data Scientist - Consulting
The Talent Solution,A rapidly growing media and online content distribution company is looking for a data scientist to join its very strong data team....,"New York, NY",,110000.0,,Hebrew speaking Data Scientist
All-In Analytics,"Data Scientist position will be responsible for providing hands on modeling guidance to the team. We are seeking a Senior Data Scientist in either our New York,...","New York, NY",,145000.0,,Senior Data Scientist
Oliver James Associates,"Passionate about Data Science. You will work closely with data engineers and BI experts to develop a streamlined, efficient and robust data architecture to meet...","New York, NY",2.0,180000.0,39.0,Corporate Vice President Data Scientist – Marketing & Customer Insights
Elevano,Parsing of structured/unstructured data. Our client is looking for a Senior Data Scientist with a strong background in NLP....,"New York, NY",,165000.0,,Senior NLP Data Scientist
S.C. International,Insurance organization is seeking a Corporate VP/Lead Data Scientist to join growing corporate analytics group....,"New York, NY",,150000.0,,VP Modeling Data Scientist
Venturi Ltd,Senior Data Engineer / Search / IR / Python / Machine Learning / NLP / Natural Language processing / Information Retrieval / Data Science / Deep Learning / Text...,"New York, NY",3.0,175000.0,60.0,Senior Data Engineer ( Search / IR / Python / ML / NLP / AI )
Averity,You will be leading a team of two data scientists (one mid-level data scientist and one junior data scientist)....,"New York, NY",,175000.0,,Director of Data Science (Startup 50+ People)
Averity,"Ultimately, we are searching for an intelligent, passionate, creative data scientist excited about working with messy healthcare data to provide...","New York, NY",,175000.0,,"Senior Data Scientist for Multi-Million Dollar, Data- Driven HealthTech Company"
Averity,"As a Data Scientist, you will help join a team of talented data scientists dedicated to solving our internal and external clients complex business problems...","New York, NY",,250000.0,,Senior/ VP Data Scientist for Multi-Billion Dollar Global Financial Services Company
Workbridge Associates,They need a Senior Data Engineer who has experience handling heavy amounts of data. In this role you will play a part in all aspects of the process from data...,"New York, NY",30.0,150000.0,41.4,Senior Data Engineer
Execu | Search,The Senior Data Scientist will:. An investment company in New York City is actively seeking a new Data Scientist for a promising Senior-level position with...,"New York, NY",65.0,200000.0,43.8,Senior Data Scientist
Workbridge Associates,"Big Data technology experience. Currently, they are looking to add a Senior Data Scientist to their team that has good experience working with machine-learning...","San Jose, CA 95113 (Downtown area)",30.0,180000.0,41.4,Senior Machine Learning Data Scientist
Workbridge Associates,"Looking for a Data Scientist strong with Python, Spark, Machine Learning, and Predicative Analytics. B.S in Data Science or relevant field....","San Jose, CA 95113 (Downtown area)",30.0,177500.0,41.4,Senior Data Scientist
Harnham,"Deep Learning Data Scientist. Data Science, Data Scientist, Deep Learning, Tensorflow, Neural Networks, Big Data, R, SQL, Python, Insight, Analytics, Data,...","Sunnyvale, CA",,150000.0,,Deep Learning Data Scientist
Jobspring Partners,One of the world's fastest online marketplaces for mobile shoppers is currently looking for a Senior Data Scientist to join their growing team.The company has...,"San Jose, CA 95113 (Downtown area)",15.0,150000.0,39.0,Senior Data Scientist
Jobspring Partners,This company is looking bring on a very accomplished data scientist to work on their artificial intelligence and neural network engine....,"San Jose, CA 95113 (Downtown area)",15.0,185000.0,39.0,Head of Data Science
Workbridge Associates,Familiar with Big Data technologies. The ideal Senior Data Scientist/Machine Learning Engineer will be working with lots of data and develop machine learning...,"San Jose, CA 95113 (Downtown area)",30.0,157500.0,41.4,Senior Data Scientist/Machine Learning Engineer
Harnham,"Senior Data Scientist - Healthcare. Reporting to the Director of the Data Science team, as a Senior Data Scientist you will be solving some of healthcare's most...","Philadelphia, PA",,170000.0,,Senior Data Scientist Healthcare
Workbridge Associates,"In this role you will be a large part of data mining, optimization, and statistical analysis. One of the most innovative and bleeding edge energy companies is...","Philadelphia, PA",30.0,127500.0,41.4,Data Scientist
Smith Hanley Associates,Statistician/Data Scientist Responsibilities. Cleaning up Noise from data. 7+ years delivering data science outcomes....,"Horsham, PA",13.0,120000.0,51.6,Senior Statistician/Data Scientist-PHARMA
Liberty Personnel Services,Data Scientist – Financial Environment – SQL R SAS. We are currently looking for a Data Scientist to join our team in Wilmington DE....,"Wilmington, DE",9.0,140000.0,55.8,Data Scientist
inVentiv Health Clincal,"At least 3 years’ experience from a CRO or Sponsor Company working in clinical research, clinical operations or data scientist roles (eg Study Manager, Clinical...","Collegeville, PA",,56000.0,,Clinical Study Associate Trial Master File – TMF
Workbridge Associates,"Data and technology firm in downtown Chicago is looking to add a full time mid-level data scientist to their team & is willing to pay up to $100,000....","Chicago, IL",30.0,100000.0,41.4,Mid-Level Data Scientist
Strategic Employment Partners,3+ years of experience as a Data Scientist or. Data Scientist to join their growing team and have an immediate impact on the....,"Cambridge, MA",,117500.0,,Data Scientist
Venturi Ltd,As the Senior Data Scientist you will:. Senior Data Scientist / Search / IR / Python / Machine Learning / NLP / Natural Language processing / Information...,"Boston, MA",3.0,170000.0,60.0,Senior Data Scientist ( Search / IR / Python / ML / NLP / AI )
Harnham,Lead Marketing Scientist. THE ROLE - Lead Marketing Scientist:. HOW TO APPLY - Lead Marketing Scientist:....,"Boston, MA",,125000.0,,Lead Marketing Scientist - R/SQL
All-In Analytics,"Data Scientist in our Wellesley, MA; The role will be responsible for extraction and manipulation of data from multiple, large data sources and using the data...","Wellesley, MA",,115000.0,,Sr. Data Scientist
SEP BOS,Machine-Learning Data Scientist. At least 2+ years of professional experience in data science or data analytics....,"Boston, MA 02210 (South Boston area)",,120000.0,,Machine Learning Data Scientist
Strategic Employment Partners,They are in search of a Senior Data Scientist to head up their data science and analytics team. 3+ years of professional experience working in a data scientist...,"Cambridge, MA",,127500.0,,Senior Data Scientist
All-In Analytics,Strong knowledge of advanced analytics tools and languages to analyze large data sets from multiple data sources....,"Wellesley, MA",,145000.0,,Lead Data Scientist
All-In Analytics,"We are currently seeking a Principal Data Scientist in our Hartford, CT; Predictive modeling experience, data analytics, machine learning, and big data...","Wellesley, MA",,145000.0,,Principal Data Scientist
Jobspring Partners,Ability to collaborate with other data scientist and software engineers. The Senior Machine Learning Scientist will be leading the R&D of model building and...,"Boston, MA 02116 (South End area)",15.0,160000.0,39.0,Principal Machine Learning Scientist
Jobspring Partners,A healthcare company in Downtown Boston is looking for a Lead Data Scientist with a heavy focus in Machine Learning....,"Boston, MA 02116 (South End area)",15.0,130000.0,39.0,Machine Learning Engineer
Liberty Mutual,"Optimizations and Data Strategy, we are looking for a motivated Data Scientist. Advance your Data. Better understanding of the data, and our Data Scientists are...","Boston, MA",1652.0,137750.5,43.8,"Asst Dir/Director I, Data Science, Marketing Analytics - U. S. Consumer Markets"
Liberty Mutual,"Optimizations and Data Strategy, we are looking for a motivated Data Scientist. On in-depth market and data analyses....","Boston, MA",1652.0,117400.0,43.8,"Sr Analyst/Principal Analyst/Asst Dir, Data Science, Optimizations & Data Strategy - U. S. Consumer Markets"
All-In Analytics,HEAD DATA SCIENTIST. The Head Data Scientist is also responsible for bringing innovative ideas in analytics to business leadership....,"Los Angeles, CA",,165000.0,,Senior Data Scientist
Aquila,"Identify and own data latency and data quality issues. Create and maintain data pipelines, dashboards, and data models around our communications ecosystem....","San Francisco, CA 94102 (Downtown area)",8.0,125000.0,39.0,Senior Data Scientist
Blair Search,"Our client is looking for a senior data scientist for our first-of-its-kind sales analytics platform, which combines a proprietary, active-learning network with...","San Ramon, CA",,152500.0,,Sr Data Scientist- NLP and CODING REQ
Workbridge Associates,4+ experience in data science or data engineering. A start up in San Francisco is looking for an experienced Data Scientist to join their team....,"San Francisco, CA",30.0,170000.0,41.4,Data Scientist
Workbridge Associates,Data Scientist that will be formative in shaping the company’s text analytics & machine learning product. Exposure to DevOps or data infrastructure....,"San Francisco, CA",30.0,150000.0,41.4,Senior Data Scientist (NLP)
Robert Walters,"Data pipeline engineering. We are working with a growing startup in the e-commerce space, and they are looking for a Senior Data Scientist....","San Francisco, CA",29.0,165000.0,44.4,Senior Data Scientist
Workbridge Associates,They are a B2B ride sharing and fleet management application trying to hire their first Data Scientist to build a team....,"San Francisco, CA",30.0,200000.0,41.4,Director of Data Science
Workbridge Associates,A San Francisco based mobile application enhancement company is hiring a Data Scientist to apply scientific principles to data to support engineering and...,"San Francisco, CA",30.0,170000.0,41.4,Data Scientist ( IoT Startup)
Ezra Penland Actuarial Recruitment,Property and casualty insurance startup plans to hire an Insurance Marketing Data Scientist in California for Position 76439....,"San Francisco, CA",,237500.0,,Insurance Marketing Data Scientist #76439
Harnham,"Data Science, Data Scientist, Deep Learning, Tensorflow, Neural Networks, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine...","San Francisco, CA",,240000.0,,Head of Data Sciences
Workbridge Associates,You will work with both psychological data and financial data form multiple sources to help companies retain the employees and improve their performance....,"San Francisco, CA",30.0,135000.0,41.4,Data Scientist (Statistics)
Harnham,YOUR ROLE AS A SENIOR DATA SCIENTIST:. 5+ years experience in a Data Science or Analytic capacity. This is an exciting opportunity for someone who is an expert...,"San Francisco, CA",,165000.0,,Senior Data Scientist
Workbridge Associates,"Experience with data cleansing and extraction. You will work on their BI team with other Data Scientists, Engineers, and Designers to make a comprehensive, data...","San Francisco, CA",30.0,150000.0,41.4,Data Scientist (Sales Analytics)
Harnham,"Data Science, Data Scientist, Engineer, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine Learning, Algorithms, Bayesian....","San Francisco, CA",,160000.0,,Machine Learning Engineer
Veredus,"Data Analyst, SQL, Data Scientist, Query. Data Analyst Skills & Requirements:. Help use data to drive operations decisions....","Atlanta, GA",8.0,75000.0,51.0,Data Analyst
Outcomes Incorporated,"The data scientist should possess :. Ability to create data specification files,. Minimum 5-7 years previous healthcare industry and/or quantitative work...","Chantilly, VA",,80000.0,,Data Analyst Predictive Modelling
Red Gate Group,"Data Scientist (full-time contract). Under this task, the Data Scientist contractor shall:. Data Analysis / IT Requirements:....","Arlington, VA",2.0,112500.0,54.0,Data Scientist - OUSD(I)-HCMO-DCIPS
Jobspring Partners,Specifically this company is looking for a Senior Data Scientist with at least 5 years of working experience with Python and Big Data tools to join the...,"Washington, DC",15.0,130000.0,39.0,Senior Data Scientist
Analytic Recruiting,"Experience using data visualization tools, such as Tableau, to manipulate, analyze, and present data. Create data visualizations to provide insight to complex...","Washington, DC",2.0,90000.0,51.0,Sr. Financial Analyst - Statistician
Fawkes IDM,"An analytics and data solutions company that delivers customized solutions to clients, is seeking a qualified Data Scientist with TS/SCI clearance to join their...","Fort Meade, MD",,120000.0,,PeopleSoft Developer with TS/SCI FSP Required
NxT Level,"Data tools -- Python (Pandas, scipy, numpy, scikitlearn etc), R, SQL, Octave:. Extensive experience with data tools -- Python (Pandas, scipy, numpy, scikitlearn...","Seattle, WA",,142500.0,,Data Scientist
All-In Analytics,You will be contributing to a platform from the very early stages which will process terabytes of video content data....,"Seattle, WA",,212500.0,,Sr. Applied Data Scientist
Colorado State University,"Data retrieval (e.g., Oracle, Access, or other database management software). Excellent interpersonal skills, including an ability to work with individuals and...","Fort Collins, CO",237.0,46500.0,52.8,Research Project Manager
"Reagent World, Inc.","Fluency in Microsoft Excel, Outlook and Word are critical.This position involves mining the internet for pertinent information and efficient data saving and...","Irvine, CA 92612",3.0,45058.0,51.0,"Chemist - $45,058.00 - Project Specialist"
"Reagent World, Inc.","Fluency in Microsoft Excel, Outlook and Word are critical.This position involves mining the internet for pertinent information and efficient data saving and...","Irvine, CA 92612",3.0,45082.0,51.0,"Physicist - $45,082.00 - Project Lead"
Task Critical,"Headquartered in Palo Alto, Calif., TIBCO Software empowers businesses to their digital destinations by interconnecting everything in real time and providing...","Palo Alto, CA",,80000.0,,Junior Visual Designer
San Jose/Evergreen Community College District,"Statistics, statistical applications, collection and correlation of data. Utilize reasoning to define problems, collect data, establish facts and draw valid...","San Jose, CA 95113 (Downtown area)",3.0,66099.0,55.2,RESEARCH ANALYST
Blair Search,"Can you CRUNCH the numbers and command a room? Perfect ! Are you experienced conducting analyses using CATA , multivariate analysis (cluster analysis","San Carlos, CA",,187500.0,,"Sr. Senior Statistician PCA, CATA Multivariate, SPSS"
"University of California, Santa Cruz",Assistant Project Scientist - Associate Project Scientist. A minimum of five years postdoctoral laboratory research experience with identifying extant and...,"Santa Cruz, CA 95064",862.0,66950.0,52.8,Institute of Marine Sciences: Assistant -Associate Project Scientist
Corporate Labs Technology,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is","Brisbane, CA",,145000.0,,Data Scientist (Natural Language Processing)
Glocomms,Glocomms is partnered with an autonomous car start up based in Santa Clara that was founded by ex-Google and Apple Leaders. They are seeking Machine Learning,"Sunnyvale, CA",,165000.0,,Machine Learning Engineer/Robotics
Steffan & Co.,Law Librarian/ Research Analyst One of the world’s finest firms has a rare opportunity for a seasoned Librarian/ Research Analyst who will work as part of a,"Palo Alto, CA",,90000.0,,Law Librarian/ Research Analyst
Glocomms,"Full Stack Machine Learning Engineer Bay Area $125k-200k plus bonus and benefits Key Skills: JavaScript, Python, HTML5, ReactJS Powerhouse AdTech firm","San Francisco, CA",,162500.0,,Machine Learning Engineer
Strategic Employment Partners,You understand data and have worked with large amounts of data in the past. Are you interested in artificial intelligence?...,"San Mateo, CA",,120000.0,,Senior Software Engineer - Machine Learning
Georgetown University Medical Center,"Proposals should include title, objective, aim(s), methodologic and analytic approaches as well as data sources (if existing data will be utilized, source(s)...","Washington, DC 20007 (Georgetown area)",17.0,62500.0,52.2,Research Fellow - Quality of Medical Products
Department of Health And Human Services,You will use statistical and mathematical methods to analyze and draw inferences from data submitted by animal drug applicants and to facilitate the Center...,"Rockville, MD",65.0,101477.0,52.2,Staff Fellow (Mathematical Statistician)
"Total Environmental Concepts, Inc.","Perform limited data review and analysis. Total Environmental Concepts, Inc....","Springfield, VA",,42500.0,,Environmental Technician/Scientist
PeopleTek,"Of various data, reporting, and a wide variety of client services activities.  2 - 4 years’ experience in data analytics in the health care industry or related...","Bethesda, MD",,70000.0,,Statistical Data Analyst (US Citizen)
Legislative Branch,"E-VERIFY is an Internet-based system that compares information from an employee's Form I-9, Employment Eligibility Verification, to data from U.S....","Washington, DC",,155703.0,,"Executive Director, U.S. Botanic Garden (Supervisory Horticulturist)"
Smith Hanley Associates,Provide deep dive data analysis and research analytics. Smith Hanley Associates....,"Washington, DC",13.0,180000.0,51.6,Lead Quantitative Analyst
Department of the Navy,"Multi-Level Security (MLS) thin client connectivity, cross domain data transfers through controlled interfaces on....","Quantico, VA",19005.0,109015.0,53.4,IT SPECIALIST (OS/INFOSEC)
ClemTech LLC.,"Advanced analytics experience conducting data / root cause analysis using appropriate models and methodologies to properly define a problem and its impact, and...","Quantico, VA",,63340.0,,Operations Research Analyst
Workbridge Associates,Knowledge of data structure and algorithm design. 2+ years of professional experience in machine learning and data science....,"Washington, DC",30.0,125000.0,41.4,Machine Learning Expert
"NCI, Epidemiology and Genomics Research Program",And data analysis. Managing and analyzing epidemiologic and other data; Opportunities include working with teams of scientists and public health professionals...,"Rockville, MD",,41700.0,,Fellow for Clinical Epidemiology
Howard Community College,"Perform data entry, document scanning and data conversion. Maintain data dictionary to standardize variable names for data files, keep track of data definitions...","Columbia, MD",49.0,46332.0,53.4,Research Analyst
Johns Hopkins University,"Summarize and analyze BASIS data. Data management and research analysis activities will include. And serotype, final outcome and follow-up data....","Baltimore, MD",425.0,52136.5,51.6,Research Analyst/Study Coordinator
U.S. Federal Government,"The Division partners with stakeholders to provide outstanding customer service in planning, developing, and implementing the National Science Foundation’s (NSF...","Arlington, VA",347.0,171559.5,52.8,"Deputy Division Director, Division of Human Resource Management, OIRM"
Johns Hopkins University,"This Research Service Analyst (RSA) will create and review sponsored budgets, budget justifications, and other administrative data for submission to appropriate...","Baltimore, MD",425.0,49165.0,51.6,Research Service Analyst
Smith Hanley Associates,Provide deep dive data analysis and model review and explain results to both internal and external customers....,"Washington, DC",13.0,150000.0,51.6,Sr. Quantitative Analyst
WSSC,"Ability to plan and direct the work of professional engineers and scientists; Monitoring, modeling, environmental data management, point and non-point source...","Laurel, MD 20707",26.0,95396.5,42.0,Environmental Scientist - Water Resources Management
Qlaire Systems Inc.,"Demonstrated understanding of Master data Management principles, data architecture, data modeling, data governance, and data security....","Washington, DC",,150000.0,,Big Data Cloud Architect
Department of Commerce,"Supervisory Physical Scientist, ZP-1301-05. This position is located within National Oceanic and Atmospheric Administration (NOAA), National Environmental...","Suitland, MD",590.0,146833.5,52.2,Supervisory Physical Scientist ZP-1301-05 (DE/CR)
Department of the Army,The Improved Data Modem. Between tactical radios and the on-aircraft MIL-STD-1553B data bus. And hardware problems associated with computer driven...,"Aberdeen Proving Ground, MD",43034.0,74290.0,53.4,INTERDISCIPLINARY COMPUTER SCIENTIST/COMPUTER ENGINEER
Department of the Air Force,"As an Environmental Scientist GS-1301-12, you will:. To qualify for the Environmental Scientist GS-1301-12 position, you must meet the Basic and Additional...","Middletown, PA",14712.0,83405.5,54.0,ENVIRONMENTAL SCIENTIST
"Mallard Advisors, LLC","We provide financial/tax planning and investment advice to financially secure scientists, engineers, and other data driven clients....","Hockessin, DE 19707",,60500.0,,Financial Advisor Associate
Johns Hopkins University,Implements appropriate methodologic procedures for statistical analysis including exploratory data analyses (e.g....,"Baltimore, MD",425.0,60525.5,51.6,Biostatistician
Contingent/Direct Consultants,"Experience of Development, program design and data analysis and interpretation. B&I drives good design to generate the data needed for quality decision making....","Gaithersburg, MD 20877",,150000.0,,Statistician - Healthcare or Pharma Industry
Johns Hopkins University,"Responsible for operation of video equipment, data collection, and. It has collaborated with Johns Hopkins computer scientists to better assess surgical...","Baltimore, MD",425.0,50148.5,51.6,Surgical Training Center Coordinator
Department of the Navy,Develop individual exercise prescription programs based on assessment data to meet desired fitness and nutritional goals....,"Quantico, VA",19005.0,76485.0,53.4,CERTIFIED ATHLETIC TRAINER (ATC)
WSSC,"Ability to plan and oversee the work of professional engineers and scientists; Supports and works with scientists, engineers and other employees in the study...","Laurel, MD 20707",26.0,95396.5,42.0,Principal Environmental Engineer
Johns Hopkins University,"Formation of statistical designs for studies, drafting statistical analysis plans, interfacing with database designers to ensure that the data collected can...","Baltimore, MD",425.0,70282.5,51.6,Sr. Biostatistician
Jobspring Partners,Metro areas fastest growing data analytics start-ups is looking for a full-time Data Scientists and is willing to offer very competitive pay and benefits....,"Washington, DC",15.0,125000.0,39.0,Data Scientist
Blair Search,"Use of scientific databases and application for data management and data analysis. Senior Scientist II, Immuno Biologics....","Cambridge, MA",,125000.0,,Snr Manager (Scientist II) Assay Development & Immuno Biologics and
Commonwealth of Massachusetts,"Ability to analyze and determine the applicability of health care data, to draw conclusions and make appropriate recommendations....","Boston, MA",165.0,73570.5,51.0,Clinical Laboratory Surveyor
Blair Search,"You’ll desire to identify and cultivate relationships with external partners such as clinical investigators, clinicians, scientists, and vendors....","Cambridge, MA",,140000.0,,Senior Clinical Scientist
The State of Rhode Island,To utilize and maintain a data management system incorporating the latest computer technology. Must meet the requirements for licensure as a Clinical Laboratory...,"Providence, RI",,55991.5,,CLINICAL LABORATORY SCIENTIST (PUB HEALTH MICROBIOLOGY)
RI Department of Administration,To utilize and maintain a data management system incorporating the latest computer technology. Must meet the requirements for licensure as a Clinical Laboratory...,"Providence, RI",2.0,55991.5,54.0,CLINICAL LABORATORY SCIENTIST (PUB HEALT...
"Asset Recovery Advisors, Inc.",Data entry pertaining to ongoing research and data management using excel and other processing software. Is a Massachusetts based research firm specializing in...,"Newton, MA",,32500.0,,Research Analyst
PayFactors,PayFactors leverages its team of highly experienced Compensation Analysts and Data Scientists to help HR and compensation teams more effectively manage their...,"Braintree, MA",,70000.0,,SMB Inside Sales Representative
U.S. Federal Government,Works with PI and EHT scientists on potential projects. This includes managing design and deployment of high-bandwidth data capture systems at radio telescopes...,"Cambridge, MA",347.0,136797.5,52.8,Physical Scientist (Event Horizon Telescope Program Manager)
"New England Peptide, Inc","Data analysis and characterization of peptides using HPLC/UPLC and Mass Spec. Working alongside other peptide scientists, the HPLC Technician will be...","Gardner, MA 01440",,30000.0,,HPLC Technician
RI Department of Administration,"To research, collect, and analyze data, formulate proposals, detail action programs, make cost estimates, and identify legislative and other implementing...","Providence, RI",2.0,62580.0,54.0,SENIOR ENVIRONMENTAL SCIENTIST
The State of Rhode Island,"To research, collect, and analyze data, formulate proposals, detail action programs, make cost estimates, and identify legislative and other implementing...","Providence, RI",,62580.0,,SENIOR ENVIRONMENTAL SCIENTIST
WinterWyman,"Strong familiarity with Enterprise Storage and Backup technologies – EMC, NetApp, Data Domain, etc. The right candidate also needs very sharp communication...","Cambridge, MA 02138 (West Cambridge area)",17.0,160000.0,42.6,Manager / Director of Storage
8925,LABORATORY SCIENTIST TRAINEE. Reviews data and corrects inaccuracies. Trains subordinate laboratory scientists and laboratory assistants....,"Concord, NH",,43378.0,,LABORATORY SCIENTIST TR-III
9085,"Ability to interpret maps, data, and engineering plans. Conducts pre-applications meetings and provides assistance to the general public and their...","Portsmouth, NH",,53342.5,,ENVIRONMENTALIST III
605,"Our team of data scientists pioneered the field of TV data analytics. At 605 we are engineers, analysts, data scientists, media experts, marketing strategists...","New York, NY",,112500.0,,Full-Stack Engineer
DEPARTMENT OF FINANCE,"Construct mathematical models that predict the market value of properties from real estate data. Decisions processes, econometric methods, data envelopment...","Manhattan, NY",78.0,75557.5,51.0,Senior Modeler
DEPT OF HEALTH/MENTAL HYGIENE,And a general appreciation for data quality. -Assume leadership role in data management and analysis. Two years as a City Research Scientist Level I can be...,"New York, NY",7.0,78790.5,52.8,"Research Analyst , Bureau of HIV/AIDS Prevention and Control"
