keyword,importance,std,impact_coef,impact_direction
application,0.0037236795700370134,0.001805687795443353,-0.007333154376181305,negative
teacher,0.003648012951883276,0.002782214006818281,-1.6350700132069922,negative
python,0.003612580225344838,0.0030863869401468705,1.0489908315763357,positive
planning,0.003603346480452926,0.001846726777427615,0.4596519468798899,positive
bureau,0.003590598162826238,0.0020744168077218646,0.295882102720703,positive
medical,0.0035779837468201087,0.0018498620719532052,-0.3416626563633704,negative
automation,0.0035290362654414537,0.0018090055782470865,0.3802957172669531,positive
bi,0.0034940355912416606,0.0018943460635160506,0.2762019825241205,positive
public,0.003461203754424001,0.0017379870330014493,-0.6301720706092846,negative
postdoctoral,0.003349727713520063,0.002470740126414817,-1.2280579131091711,negative
gs,0.003342280375377026,0.0017727842361755185,0.6795050610419756,positive
budget,0.0032742042398067875,0.0020076351381717525,-0.7959282823869082,negative
resources,0.003222927954959961,0.001958081034500475,-0.2503574236609301,negative
civil,0.0032226219090513266,0.0019098283752059732,-0.2211266471194878,negative
database,0.003182015547876146,0.0015286517864982938,0.420418569199964,positive
nurse,0.003137343382111388,0.0017121555372777663,0.18285629945468249,positive
water,0.003136933870918108,0.0019023409942304165,1.3835504930559768,positive
customer,0.0031299656052938074,0.0018743507932320088,0.2297405478873886,positive
infrastructure,0.0030674710624527474,0.002079117969399602,1.4542588662532203,positive
enterprise,0.0030200881092764392,0.0019180133682356367,1.3613725861148178,positive
devops,0.003006453439068727,0.0015616082808607623,1.161060098007278,positive
analysis,0.0029770400348640013,0.001893831315134566,0.23483671549218205,positive
care,0.002976115456171777,0.0017192677469222845,0.4817533909921963,positive
risk,0.0029718169805237125,0.0015921275474643113,0.8771334459233416,positive
iv,0.0029714585169188816,0.001490322425085108,0.6200625234428503,positive
institute,0.00296135767393102,0.0019291856905550684,0.034405889974795746,positive
institutional,0.0028736654404472378,0.0017011118450616575,-0.8931670914208165,negative
mechanical,0.0028182126872496613,0.0015491863559523823,-0.0461463037532567,negative
supervisor,0.0027977411589452847,0.0017200691894563404,0.36825074673336244,positive
predictive,0.002711959781384667,0.002430546901735838,1.020683526681261,positive
controls,0.002691795846523985,0.0014868771346917718,1.0462765454476441,positive
credit,0.0026613124402252862,0.0016167215919495066,0.01680186479926905,positive
accounting,0.002657370510371031,0.0016025809054113869,0.15843694312340303,positive
training,0.0025468079863474533,0.0015672745009990383,-1.2550841646291124,negative
modeling,0.0025450262813718925,0.0018251711597759498,0.6822199881055341,positive
officer,0.002544970988818689,0.0021231028896209307,0.3241067700221503,positive
big,0.002532570938235436,0.0038194184642133333,1.1730142640773735,positive
design,0.00252112461555303,0.001527090615349221,0.37377034546594734,positive
office,0.0024405899918713654,0.0014951104095981597,-0.14413878548204478,negative
net,0.0024054622776419595,0.0015115193790871534,0.7290423638236895,positive
entry,0.0023698281567268316,0.0019047072148109937,-0.7301624488893427,negative
modeler,0.00235504269603016,0.0016544902055010916,0.7452437200822113,positive
full,0.002284786376028424,0.0023058206896420094,1.0866007203271308,positive
technologist,0.0022644492190425827,0.0016035495440872853,-0.4870284874597598,negative
social,0.0021896832977911173,0.0014640828639792935,-0.8357768130370319,negative
assurance,0.0021881197881551523,0.0014838882894409626,0.08735230851933105,positive
healthcare,0.002144553615639153,0.0017449867130293385,0.13113296095407498,positive
java,0.0021260063249369954,0.0018463152943558935,0.6308964166989449,positive
mid,0.0019724025299774754,0.0015426865508635862,0.5717097153290625,positive
clearance,0.0019102693450376725,0.0014987821450489212,0.6766945440718962,positive
test,0.0019072597538419965,0.0015226462423200038,-0.12368366241108861,negative
positions,0.001857696925010789,0.0016120076116028078,-0.5915265351668895,negative
planner,0.0018256671872561242,0.0014727592487292303,-0.6169107788118056,negative
academic,0.00178051698247035,0.001280556802346823,-1.1498953231458449,negative
integration,0.0017284698171925043,0.0016072635389534167,0.729426337511819,positive
fellow,0.0016738326154294972,0.0012693240291532634,-0.2896446363415151,negative
electrical,0.0016001216046565411,0.0010868783208605817,0.529753875841338,positive
assessment,0.001587262011967925,0.001265861741591843,-0.7686611577535911,negative
executive,0.0015849514218466614,0.0010882221480072488,0.09733478456625921,positive
stack,0.0015685746830881005,0.0018554983107262816,0.3219465934882864,positive
human,0.0015020702555244968,0.0011573487520942253,0.1289372034290108,positive
general,0.0014463740098342955,0.0010459084355986857,0.19171591791422632,positive
phoenix,0.001445104122642494,0.00155766880851774,-1.040012492188704,negative
sciences,0.0013698274466060366,0.0011697906337554197,-0.18400381846677302,negative
school,0.0013554398457777685,0.0014141061062191182,-0.251796795368534,negative
end,0.0012275699963850161,0.0011294652026079368,0.991732067561589,positive
2017,0.0011682774051317002,0.0010260212066669685,-0.25940900598844563,negative
az,0.0011205675835809616,0.00138004706096499,-0.8413358374236761,negative
